departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
Athens,24.574,38.56,Greece,Cairo,31.675,30.203,Egypt,2,1134
Amman,36.655,32.204,Jordan,Cairo,31.675,30.203,Egypt,2,523
Aleppo,37.373,36.301,Syria,Cairo,31.675,30.203,Egypt,2,860
Abha,43.094,18.4,Saudi Arabia,Cairo,31.675,30.203,Egypt,2,1747
St.-pierre,55.705,-20.867,Reunion,Plaisance,58.139,-20.051,Mauritius,2,269
Plaisance,58.139,-20.051,Mauritius,Durban,31.584,-29.951,South Africa,2,2884
Plaisance,58.139,-20.051,Mauritius,Cape Town,19.002,-33.942,South Africa,2,4143
Durban,31.584,-29.951,South Africa,Plaisance,58.139,-20.051,Mauritius,2,2884
Cape Town,19.002,-33.942,South Africa,Plaisance,58.139,-20.051,Mauritius,2,4143
Singapore,104.657,1.583,Singapore,Plaisance,58.139,-20.051,Mauritius,2,5610
Kuala Lumpur,102.183,3.242,Malaysia,Plaisance,58.139,-20.051,Mauritius,2,5459
Kuala Lumpur,102.183,3.242,Malaysia,Johannesburg,28.41,-25.566,South Africa,2,8546
Beirut,35.813,34.368,Lebanon,Tunis,10.378,37.418,Tunisia,2,2308
Beirut,35.813,34.368,Lebanon,Cairo,31.675,30.203,Egypt,2,604
Antananarivo,47.798,-18.662,Madagascar,St.-denis,55.85,-20.812,Reunion,2,875
Antananarivo,47.798,-18.662,Madagascar,Plaisance,58.139,-20.051,Mauritius,2,1095
Antananarivo,47.798,-18.662,Madagascar,Johannesburg,28.41,-25.566,South Africa,2,2136
Antananarivo,47.798,-18.662,Madagascar,Dzaoudzi,45.468,-12.675,Mayotte,2,710
Toamasina,49.654,-17.516,Madagascar,St.-denis,55.85,-20.812,Reunion,2,746
St.-denis,55.85,-20.812,Reunion,Antananarivo,47.798,-18.662,Madagascar,2,875
St.-denis,55.85,-20.812,Reunion,Toamasina,49.654,-17.516,Madagascar,2,746
Plaisance,58.139,-20.051,Mauritius,Antananarivo,47.798,-18.662,Madagascar,2,1095
Mahajanga,46.586,-15.446,Madagascar,Dzaoudzi,45.468,-12.675,Mayotte,2,330
Johannesburg,28.41,-25.566,South Africa,Antananarivo,47.798,-18.662,Madagascar,2,2136
Moroni,43.453,-11.223,Comoros,Dzaoudzi,45.468,-12.675,Mayotte,2,272
Dzaoudzi,45.468,-12.675,Mayotte,Mahajanga,46.586,-15.446,Madagascar,2,330
Bangkok,101.245,14.135,Thailand,Antananarivo,47.798,-18.662,Madagascar,2,6897
Nyala,25.593,12.089,Sudan,Khartoum,32.921,15.982,Sudan,2,901
Khartoum,32.921,15.982,Sudan,Nyala,25.593,12.089,Sudan,2,901
Khartoum,32.921,15.982,Sudan,El Fasher,25.541,14.024,Sudan,2,821
Khartoum,32.921,15.982,Sudan,Geneina,22.778,13.802,Sudan,2,1116
Juba,32.001,5.453,South Sudan,Khartoum,32.921,15.982,Sudan,2,1175
El Fasher,25.541,14.024,Sudan,Khartoum,32.921,15.982,Sudan,2,821
Zurich,8.915,47.774,Switzerland,Johannesburg,28.41,-25.566,South Africa,2,8384
Zurich,8.915,47.774,Switzerland,Cairo,31.675,30.203,Egypt,2,2752
Geneva,6.181,46.396,Switzerland,Cairo,31.675,30.203,Egypt,2,2839
Warsaw,21.611,52.276,Poland,Cairo,31.675,30.203,Egypt,2,2588
Tunis,10.378,37.418,Tunisia,Tripoli,13.265,33.105,Libya,2,546
Tunis,10.378,37.418,Tunisia,Benghazi,20.449,32.161,Libya,2,1088
Tripoli,13.265,33.105,Libya,Tunis,10.378,37.418,Tunisia,2,546
Tripoli,13.265,33.105,Libya,Cairo,31.675,30.203,Egypt,2,1769
Cairo,31.675,30.203,Egypt,Tripoli,13.265,33.105,Libya,2,1769
Cairo,31.675,30.203,Egypt,Benghazi,20.449,32.161,Libya,2,1089
Benghazi,20.449,32.161,Libya,Tunis,10.378,37.418,Tunisia,2,1088
Benghazi,20.449,32.161,Libya,Cairo,31.675,30.203,Egypt,2,1089
Amman,36.655,32.204,Jordan,Tripoli,13.265,33.105,Libya,2,2187
Zurich,8.915,47.774,Switzerland,Nairobi,37.545,-0.866,Kenya,2,6076
Pointe-noire,12.477,-4.694,Congo (Brazzaville),Libreville,9.687,0.764,Gabon,2,681
Munich,12.31,48.589,Germany,Johannesburg,28.41,-25.566,South Africa,2,8400
Munich,12.31,48.589,Germany,Cairo,31.675,30.203,Egypt,2,2620
Frankfurt,8.905,50.044,Germany,Tunis,10.378,37.418,Tunisia,2,1408
Frankfurt,8.905,50.044,Germany,Johannesburg,28.41,-25.566,South Africa,2,8625
Frankfurt,8.905,50.044,Germany,Cape Town,19.002,-33.942,South Africa,2,9391
Malabo,9.181,4.258,Equatorial Guinea,Cotonou,2.64,6.595,Benin,2,769
Cotonou,2.64,6.595,Benin,Malabo,9.181,4.258,Equatorial Guinea,2,769
Antananarivo,47.798,-18.662,Madagascar,Nairobi,37.545,-0.866,Kenya,2,2273
Pemba,40.87,-12.978,Mozambique,Nairobi,37.545,-0.866,Kenya,2,1395
Pemba,40.87,-12.978,Mozambique,Maputo,32.954,-25.869,Mozambique,2,1655
Nairobi,37.545,-0.866,Kenya,Zanzibar,39.374,-5.704,Tanzania,2,574
Nairobi,37.545,-0.866,Kenya,Antananarivo,47.798,-18.662,Madagascar,2,2273
Nairobi,37.545,-0.866,Kenya,Pemba,40.87,-12.978,Mozambique,2,1395
Nairobi,37.545,-0.866,Kenya,Mwanza,33.554,-2.075,Tanzania,2,463
Nairobi,37.545,-0.866,Kenya,Plaisance,58.139,-20.051,Mauritius,2,3093
Nairobi,37.545,-0.866,Kenya,Lagos,3.535,6.962,Nigeria,2,3872
Nairobi,37.545,-0.866,Kenya,Johannesburg,28.41,-25.566,South Africa,2,2916
Mwanza,33.554,-2.075,Tanzania,Nairobi,37.545,-0.866,Kenya,2,463
Mwanza,33.554,-2.075,Tanzania,Kilimanjaro,37.124,-3.05,Tanzania,2,411
Plaisance,58.139,-20.051,Mauritius,Nairobi,37.545,-0.866,Kenya,2,3093
Maputo,32.954,-25.869,Mozambique,Pemba,40.87,-12.978,Mozambique,2,1655
Lagos,3.535,6.962,Nigeria,Nairobi,37.545,-0.866,Kenya,2,3872
Kilimanjaro,37.124,-3.05,Tanzania,Nairobi,37.545,-0.866,Kenya,2,247
Kilimanjaro,37.124,-3.05,Tanzania,Mwanza,33.554,-2.075,Tanzania,2,411
Johannesburg,28.41,-25.566,South Africa,Nairobi,37.545,-0.866,Kenya,2,2916
Jeddah,39.26,22.132,Saudi Arabia,Nairobi,37.545,-0.866,Kenya,2,2564
Malta,14.795,36.429,Malta,Tripoli,13.265,33.105,Libya,2,395
Ndola,29.108,-12.997,Zambia,Nairobi,37.545,-0.866,Kenya,2,1638
Nairobi,37.545,-0.866,Kenya,Harare,31.154,-17.887,Zimbabwe,2,2017
Muscat,58.474,23.988,Oman,Nairobi,37.545,-0.866,Kenya,2,3569
Djibouti,43.265,11.912,Djibouti,Nairobi,37.545,-0.866,Kenya,2,1554
Harare,31.154,-17.887,Zimbabwe,Nairobi,37.545,-0.866,Kenya,2,2017
Kinshasa,15.74,-3.977,Congo (Kinshasa),Nairobi,37.545,-0.866,Kenya,2,2446
Lubumashi,27.884,-11.319,Congo (Kinshasa),Ndola,29.108,-12.997,Zambia,2,229
Brazzaville,15.421,-3.753,Congo (Kinshasa),Nairobi,37.545,-0.866,Kenya,2,2478
Amsterdam,5.273,52.514,Netherlands,Cairo,31.675,30.203,Egypt,2,3281
Barcelona,2.13,41.495,Spain,Cairo,31.675,30.203,Egypt,2,2924
Johannesburg,28.41,-25.566,South Africa,Bloemfontein,26.504,-28.488,South Africa,2,375
Cape Town,19.002,-33.942,South Africa,Bloemfontein,26.504,-28.488,South Africa,2,935
Bloemfontein,26.504,-28.488,South Africa,Johannesburg,28.41,-25.566,South Africa,2,375
Bloemfontein,26.504,-28.488,South Africa,Cape Town,19.002,-33.942,South Africa,2,935
Kuwait,48.614,29.377,Kuwait,Luxor,33.177,26.118,Egypt,2,1560
Sanaa,44.366,15.793,Yemen,Cairo,31.675,30.203,Egypt,2,2059
Milano,9.213,46.051,Italy,Plaisance,58.139,-20.051,Mauritius,2,8844
Madrid,-3.278,40.822,Spain,Malabo,9.181,4.258,Equatorial Guinea,2,4252
Madrid,-3.278,40.822,Spain,Dakar,-17.151,15.232,Senegal,2,3145
Barcelona,2.13,41.495,Spain,Marrakech,-7.394,32.011,Morocco,2,1351
Nouakschott,-15.914,18.163,Mauritania,Bamako,-7.917,12.889,Mali,2,1037
Kayes,-11.008,14.802,Mali,Bamako,-7.917,12.889,Mali,2,395
Bamako,-7.917,12.889,Mali,Nouakschott,-15.914,18.163,Mauritania,2,1037
Bamako,-7.917,12.889,Mali,Kayes,-11.008,14.802,Mali,2,395
Marsa Alam,34.972,25.928,Egypt,Hurghada,34.332,27.297,Egypt,2,164
Marrakech,-7.394,32.011,Morocco,Agadir,-9.244,30.635,Morocco,2,232
Vienna,16.949,48.183,Austria,Sharm El Sheikh,34.658,28.628,Egypt,2,2652
Vienna,16.949,48.183,Austria,Luxor,33.177,26.118,Egypt,2,2830
Vienna,16.949,48.183,Austria,Hurghada,34.332,27.297,Egypt,2,2765
Bahrain,51.056,26.451,Bahrain,Cairo,31.675,30.203,Egypt,2,1939
Sharjah,55.861,25.547,United Arab Emirates,Khartoum,32.921,15.982,Sudan,2,2606
Port Sudan,37.39,19.722,Sudan,Khartoum,32.921,15.982,Sudan,2,629
Dubai,55.607,25.421,United Arab Emirates,Alexandria,30.16,31.529,Egypt,2,2571
Taiz,44.231,14.143,Yemen,Djibouti,43.265,11.912,Djibouti,2,269
Abu Dhabi,55.085,24.721,United Arab Emirates,Khartoum,32.921,15.982,Sudan,2,2502
Abu Dhabi,55.085,24.721,United Arab Emirates,Cairo,31.675,30.203,Egypt,2,2383
Malabo,9.181,4.258,Equatorial Guinea,Addis Ababa,39.332,9.629,Ethiopia,2,3379
Riyadh,47.164,25.596,Saudi Arabia,Addis Ababa,39.332,9.629,Ethiopia,2,1958
Milano,9.213,46.051,Italy,Addis Ababa,39.332,9.629,Ethiopia,2,4956
Lagos,3.535,6.962,Nigeria,Douala,10.199,4.01,Cameroon,2,807
Lome,1.424,6.276,Togo,Dakar,-17.151,15.232,Senegal,2,2258
Lome,1.424,6.276,Togo,Addis Ababa,39.332,9.629,Ethiopia,2,4189
Kuwait,48.614,29.377,Kuwait,Addis Ababa,39.332,9.629,Ethiopia,2,2399
Kigali,30.232,-1.948,Rwanda,Addis Ababa,39.332,9.629,Ethiopia,2,1634
Juba,32.001,5.453,South Sudan,Malakal,32.087,9.931,Sudan,2,498
Juba,32.001,5.453,South Sudan,Addis Ababa,39.332,9.629,Ethiopia,2,931
Jeddah,39.26,22.132,Saudi Arabia,Addis Ababa,39.332,9.629,Ethiopia,2,1390
Istanbul,29.357,41.628,Turkey,Addis Ababa,39.332,9.629,Ethiopia,2,3689
Frankfurt,8.905,50.044,Germany,Addis Ababa,39.332,9.629,Ethiopia,2,5294
Rome,12.417,42.34,Italy,Addis Ababa,39.332,9.629,Ethiopia,2,4483
Douala,10.199,4.01,Cameroon,Lagos,3.535,6.962,Nigeria,2,807
Douala,10.199,4.01,Cameroon,Addis Ababa,39.332,9.629,Ethiopia,2,3274
Dakar,-17.151,15.232,Senegal,Lome,1.424,6.276,Togo,2,2258
Conakry,-13.354,9.961,Guinea,Bamako,-7.917,12.889,Mali,2,676
Cairo,31.675,30.203,Egypt,Addis Ababa,39.332,9.629,Ethiopia,2,2421
Brazzaville,15.421,-3.753,Congo (Kinshasa),Douala,10.199,4.01,Cameroon,2,1040
Bamako,-7.917,12.889,Mali,Conakry,-13.354,9.961,Guinea,2,676
Bangui,18.864,4.664,Central African Republic,Addis Ababa,39.332,9.629,Ethiopia,2,2323
Addis Ababa,39.332,9.629,Ethiopia,Malabo,9.181,4.258,Equatorial Guinea,2,3379
Addis Ababa,39.332,9.629,Ethiopia,Lome,1.424,6.276,Togo,2,4189
Addis Ababa,39.332,9.629,Ethiopia,Douala,10.199,4.01,Cameroon,2,3274
Addis Ababa,39.332,9.629,Ethiopia,Cairo,31.675,30.203,Egypt,2,2421
Addis Ababa,39.332,9.629,Ethiopia,Bangui,18.864,4.664,Central African Republic,2,2323
Dubai,55.607,25.421,United Arab Emirates,Tunis,10.378,37.418,Tunisia,2,4447
Dubai,55.607,25.421,United Arab Emirates,Plaisance,58.139,-20.051,Mauritius,2,5063
Dubai,55.607,25.421,United Arab Emirates,Johannesburg,28.41,-25.566,South Africa,2,6377
Dubai,55.607,25.421,United Arab Emirates,Durban,31.584,-29.951,South Africa,2,6668
Dubai,55.607,25.421,United Arab Emirates,Cape Town,19.002,-33.942,South Africa,2,7648
Dammam,50.329,26.785,Saudi Arabia,Alexandria,30.16,31.529,Egypt,2,2024
Abu Dhabi,55.085,24.721,United Arab Emirates,Alexandria,30.16,31.529,Egypt,2,2552
Amman,36.655,32.204,Jordan,Alexandria,30.16,31.529,Egypt,2,617
Windhoek,17.77,-22.145,Namibia,Luanda,13.385,-8.764,Angola,2,1559
Nairobi,37.545,-0.866,Kenya,Luanda,13.385,-8.764,Angola,2,2815
Maputo,32.954,-25.869,Mozambique,Luanda,13.385,-8.764,Angola,2,2808
Madrid,-3.278,40.822,Spain,Luanda,13.385,-8.764,Angola,2,5772
Lisbon,-8.56,39.302,Portugal,Luanda,13.385,-8.764,Angola,2,5804
Luanda,13.385,-8.764,Angola,Windhoek,17.77,-22.145,Namibia,2,1559
Luanda,13.385,-8.764,Angola,Nairobi,37.545,-0.866,Kenya,2,2815
Luanda,13.385,-8.764,Angola,Maputo,32.954,-25.869,Mozambique,2,2808
Luanda,13.385,-8.764,Angola,Johannesburg,28.41,-25.566,South Africa,2,2452
Johannesburg,28.41,-25.566,South Africa,Luanda,13.385,-8.764,Angola,2,2452
Frankfurt,8.905,50.044,Germany,Luanda,13.385,-8.764,Angola,2,6553
"Praia,Santiago Island",-23.156,15.54,Cape Verde,Dakar,-17.151,15.232,Senegal,2,644
Nouakschott,-15.914,18.163,Mauritania,Dakar,-17.151,15.232,Senegal,2,351
Dakar,-17.151,15.232,Senegal,"Praia,Santiago Island",-23.156,15.54,Cape Verde,2,644
Dakar,-17.151,15.232,Senegal,Nouakschott,-15.914,18.163,Mauritania,2,351
Dakar,-17.151,15.232,Senegal,Conakry,-13.354,9.961,Guinea,2,716
Dakar,-17.151,15.232,Senegal,Abidjan,-3.878,5.435,Cote d'Ivoire,2,1813
Conakry,-13.354,9.961,Guinea,Dakar,-17.151,15.232,Senegal,2,716
Abidjan,-3.878,5.435,Cote d'Ivoire,Dakar,-17.151,15.232,Senegal,2,1813
New York,-73.632,41.066,United States,Accra,0.388,6.008,Ghana,2,8231
Atlanta,-84.047,34.061,United States,Lagos,3.535,6.962,Nigeria,2,9352
Amsterdam,5.273,52.514,Netherlands,Kigali,30.232,-1.948,Rwanda,2,6490
Amsterdam,5.273,52.514,Netherlands,Abuja,7.438,9.011,Nigeria,2,4841
Berlin,13.479,52.932,Germany,Agadir,-9.244,30.635,Morocco,2,3085
Frankfurt,8.905,50.044,Germany,Plaisance,58.139,-20.051,Mauritius,2,9169
Duesseldorf,7.277,51.482,Germany,Agadir,-9.244,30.635,Morocco,2,2686
St.-denis,55.85,-20.812,Reunion,Johannesburg,28.41,-25.566,South Africa,2,2848
Johannesburg,28.41,-25.566,South Africa,St.-denis,55.85,-20.812,Reunion,2,2848
Cotonou,2.64,6.595,Benin,Bamako,-7.917,12.889,Mali,2,1351
Brazzaville,15.421,-3.753,Congo (Kinshasa),Cotonou,2.64,6.595,Benin,2,1826
Bamako,-7.917,12.889,Mali,Cotonou,2.64,6.595,Benin,2,1351
Hong Kong,114.524,22.514,Hong Kong,Johannesburg,28.41,-25.566,South Africa,2,10701
Washington,-77.094,39.574,United States,Accra,0.388,6.008,Ghana,2,8510
Beijing,116.974,40.133,China,Cairo,31.675,30.203,Egypt,2,7535
Guangzhou,113.497,23.654,China,Cairo,31.675,30.203,Egypt,2,7969
Bangkok,101.245,14.135,Thailand,Addis Ababa,39.332,9.629,Ethiopia,2,6737
Nairobi,37.545,-0.866,Kenya,Gaberone,26.53,-24.259,Botswana,2,2858
Johannesburg,28.41,-25.566,South Africa,Gaberone,26.53,-24.259,Botswana,2,238
Gaberone,26.53,-24.259,Botswana,Nairobi,37.545,-0.866,Kenya,2,2858
Gaberone,26.53,-24.259,Botswana,Johannesburg,28.41,-25.566,South Africa,2,238
Bahrain,51.056,26.451,Bahrain,Khartoum,32.921,15.982,Sudan,2,2206
London,-0.103,51.795,United Kingdom,Addis Ababa,39.332,9.629,Ethiopia,2,5888
Alexandria,30.16,31.529,Egypt,Cairo,31.675,30.203,Egypt,2,206
Cairo,31.675,30.203,Egypt,Alexandria,30.16,31.529,Egypt,2,206
Beirut,35.813,34.368,Lebanon,Addis Ababa,39.332,9.629,Ethiopia,2,2774
Victoria Falls,26.398,-17.494,Zimbabwe,Johannesburg,28.41,-25.566,South Africa,2,921
Mpumalanga,31.176,-24.972,South Africa,Johannesburg,28.41,-25.566,South Africa,2,285
London,-0.103,51.795,United Kingdom,Luanda,13.385,-8.764,Angola,2,6856
London,-0.103,51.795,United Kingdom,Accra,0.388,6.008,Ghana,2,5091
London,-0.103,51.795,United Kingdom,Abuja,7.438,9.011,Nigeria,2,4806
London,-0.103,51.795,United Kingdom,Tunis,10.378,37.418,Tunisia,2,1796
London,-0.103,51.795,United Kingdom,Plaisance,58.139,-20.051,Mauritius,2,9775
Johannesburg,28.41,-25.566,South Africa,Victoria Falls,26.398,-17.494,Zimbabwe,2,921
Rome,12.417,42.34,Italy,Tunis,10.378,37.418,Tunisia,2,574
Rome,12.417,42.34,Italy,Nairobi,37.545,-0.866,Kenya,2,5424
Rome,12.417,42.34,Italy,Cairo,31.675,30.203,Egypt,2,2182
Amsterdam,5.273,52.514,Netherlands,Cape Town,19.002,-33.942,South Africa,2,9705
Tamale,-0.773,9.928,Ghana,Accra,0.388,6.008,Ghana,2,454
Takoradi,-1.625,5.493,Ghana,Accra,0.388,6.008,Ghana,2,229
Accra,0.388,6.008,Ghana,Tamale,-0.773,9.928,Ghana,2,454
Accra,0.388,6.008,Ghana,Takoradi,-1.625,5.493,Ghana,2,229
Valencia,-0.137,39.815,Spain,Casablanca,-7.317,33.612,Morocco,2,940
Malabo,9.181,4.258,Equatorial Guinea,Libreville,9.687,0.764,Gabon,2,392
Malabo,9.181,4.258,Equatorial Guinea,Bata,10.342,2.509,Equatorial Guinea,2,233
Monrovia,-9.938,6.389,Liberia,Freetown,-12.66,9.027,Sierra Leone,2,419
Bissau,-15.423,12.491,Guinea-Bissau,Banjul,-16.421,13.563,Gambia,2,160
Paris,2.916,49.021,France,Tanger,-5.862,36.211,Morocco,2,1592
Paris,2.916,49.021,France,Fez,-4.964,34.545,Morocco,2,1734
Nantes,-1.352,47.255,France,Marrakech,-7.394,32.011,Morocco,2,1770
Nouakschott,-15.914,18.163,Mauritania,Casablanca,-7.317,33.612,Morocco,2,1919
Madrid,-3.278,40.822,Spain,Tanger,-5.862,36.211,Morocco,2,559
Madrid,-3.278,40.822,Spain,Rabat,-6.586,34.085,Morocco,2,803
Madrid,-3.278,40.822,Spain,Marrakech,-7.394,32.011,Morocco,2,1046
Madrid,-3.278,40.822,Spain,Casablanca,-7.317,33.612,Morocco,2,877
Lisbon,-8.56,39.302,Portugal,Casablanca,-7.317,33.612,Morocco,2,642
London,-0.103,51.795,United Kingdom,Casablanca,-7.317,33.612,Morocco,2,2103
Lome,1.424,6.276,Togo,Cotonou,2.64,6.595,Benin,2,138
Lome,1.424,6.276,Togo,Accra,0.388,6.008,Ghana,2,118
Libreville,9.687,0.764,Gabon,Malabo,9.181,4.258,Equatorial Guinea,2,392
New York,-73.632,41.066,United States,Casablanca,-7.317,33.612,Morocco,2,5780
Jeddah,39.26,22.132,Saudi Arabia,Casablanca,-7.317,33.612,Morocco,2,4711
Frankfurt,8.905,50.044,Germany,Casablanca,-7.317,33.612,Morocco,2,2257
Freetown,-12.66,9.027,Sierra Leone,Monrovia,-9.938,6.389,Liberia,2,419
Rome,12.417,42.34,Italy,Casablanca,-7.317,33.612,Morocco,2,1976
Cotonou,2.64,6.595,Benin,Lome,1.424,6.276,Togo,2,138
Casablanca,-7.317,33.612,Morocco,Bissau,-15.423,12.491,Guinea-Bissau,2,2488
Casablanca,-7.317,33.612,Morocco,Nouakschott,-15.914,18.163,Mauritania,2,1919
Casablanca,-7.317,33.612,Morocco,Cairo,31.675,30.203,Egypt,2,3678
Cairo,31.675,30.203,Egypt,Casablanca,-7.317,33.612,Morocco,2,3678
Bata,10.342,2.509,Equatorial Guinea,Malabo,9.181,4.258,Equatorial Guinea,2,233
Brussels,4.807,51.502,Belgium,Agadir,-9.244,30.635,Morocco,2,2591
Abu Dhabi,55.085,24.721,United Arab Emirates,Casablanca,-7.317,33.612,Morocco,2,6050
Malaga,-4.166,37.124,Spain,Casablanca,-7.317,33.612,Morocco,2,483
Madras,80.3,13.657,India,Plaisance,58.139,-20.051,Mauritius,2,4463
Delhi,77.171,28.944,India,Plaisance,58.139,-20.051,Mauritius,2,5818
Bombay,73.446,19.147,India,Plaisance,58.139,-20.051,Mauritius,2,4666
Bombay,73.446,19.147,India,Addis Ababa,39.332,9.629,Ethiopia,2,3815
Toulouse,1.606,44.048,France,Oran,-0.369,36.039,Algeria,2,906
Toulouse,1.606,44.048,France,Algier,3.359,37.151,Algeria,2,781
Paris,2.916,49.021,France,Tlemcen,-1.084,35.027,Algeria,2,1590
Paris,2.916,49.021,France,Setif,5.54,36.296,Algeria,2,1430
Paris,2.916,49.021,France,Constantine,7.033,36.46,Algeria,2,1436
Paris,2.916,49.021,France,Biskra,6.23,35.322,Algeria,2,1547
Paris,2.916,49.021,France,Batna,6.514,36.253,Algeria,2,1449
Paris,2.916,49.021,France,Bejaja,5.116,37.186,Algeria,2,1327
Marseille,5.356,43.725,France,Tlemcen,-1.084,35.027,Algeria,2,1113
Marseille,5.356,43.725,France,Setif,5.54,36.296,Algeria,2,826
Marseille,5.356,43.725,France,Oran,-0.369,36.039,Algeria,2,983
Marseille,5.356,43.725,France,Constantine,7.033,36.46,Algeria,2,820
Marseille,5.356,43.725,France,Bejaja,5.116,37.186,Algeria,2,727
Marseille,5.356,43.725,France,Annaba,8.348,37.37,Algeria,2,750
Mulhouse,7.883,47.982,France,Constantine,7.033,36.46,Algeria,2,1283
Madrid,-3.278,40.822,Spain,Algier,3.359,37.151,Algeria,2,703
Lyon,5.151,46.21,France,Setif,5.54,36.296,Algeria,2,1102
Lyon,5.151,46.21,France,Oran,-0.369,36.039,Algeria,2,1221
Lyon,5.151,46.21,France,Constantine,7.033,36.46,Algeria,2,1095
Lyon,5.151,46.21,France,Algier,3.359,37.151,Algeria,2,1018
Lille,3.149,50.936,France,Oran,-0.369,36.039,Algeria,2,1680
Lille,3.149,50.936,France,Algier,3.359,37.151,Algeria,2,1532
London,-0.103,51.795,United Kingdom,Algier,3.359,37.151,Algeria,2,1650
Istanbul,29.357,41.628,Turkey,Algier,3.359,37.151,Algeria,2,2279
Frankfurt,8.905,50.044,Germany,Algier,3.359,37.151,Algeria,2,1500
Rome,12.417,42.34,Italy,Algier,3.359,37.151,Algeria,2,964
Damascus,36.857,33.684,Syria,Algier,3.359,37.151,Algeria,2,3044
Casablanca,-7.317,33.612,Morocco,Algier,3.359,37.151,Algeria,2,1044
Cairo,31.675,30.203,Egypt,Algier,3.359,37.151,Algeria,2,2720
Barcelona,2.13,41.495,Spain,Algier,3.359,37.151,Algeria,2,494
Algier,3.359,37.151,Algeria,Casablanca,-7.317,33.612,Morocco,2,1044
Algier,3.359,37.151,Algeria,Cairo,31.675,30.203,Egypt,2,2720
Nice,7.359,44.097,France,Tunis,10.378,37.418,Tunisia,2,784
Marseille,5.356,43.725,France,Tunis,10.378,37.418,Tunisia,2,819
Lyon,5.151,46.21,France,Tunis,10.378,37.418,Tunisia,2,1068
Moroni,43.453,-11.223,Comoros,Nairobi,37.545,-0.866,Kenya,2,1323
Paris,2.916,49.021,France,Antananarivo,47.798,-18.662,Madagascar,2,8733
Paris,2.916,49.021,France,Yaounde,11.922,4.204,Cameroon,2,5055
Paris,2.916,49.021,France,Nairobi,37.545,-0.866,Kenya,2,6462
Paris,2.916,49.021,France,Luanda,13.385,-8.764,Angola,2,6506
Paris,2.916,49.021,France,Johannesburg,28.41,-25.566,South Africa,2,8671
Paris,2.916,49.021,France,Douala,10.199,4.01,Cameroon,2,5052
Paris,2.916,49.021,France,Bamako,-7.917,12.889,Mali,2,4139
Paris,2.916,49.021,France,Abidjan,-3.878,5.435,Cote d'Ivoire,2,4888
Stuttgart,9.369,49.149,Germany,Marsa Alam,34.972,25.928,Egypt,2,3396
Munich,12.31,48.589,Germany,Djerba,11.292,34.458,Tunisia,2,1573
Hamburg,10.647,54.05,Germany,Hurghada,34.332,27.297,Egypt,2,3546
Hannover,10.141,52.768,Germany,Hurghada,34.332,27.297,Egypt,2,3466
Duesseldorf,7.277,51.482,Germany,Hurghada,34.332,27.297,Egypt,2,3514
Duesseldorf,7.277,51.482,Germany,Djerba,11.292,34.458,Tunisia,2,1920
Bombay,73.446,19.147,India,Nairobi,37.545,-0.866,Kenya,2,4505
Khartoum,32.921,15.982,Sudan,N'djamena,15.056,12.222,Chad,2,1970
Toulouse,1.606,44.048,France,Marrakech,-7.394,32.011,Morocco,2,1551
Toulouse,1.606,44.048,France,Casablanca,-7.317,33.612,Morocco,2,1392
Marseille,5.356,43.725,France,Marrakech,-7.394,32.011,Morocco,2,1713
Lyon,5.151,46.21,France,Agadir,-9.244,30.635,Morocco,2,2130
Bordeaux,-0.526,45.38,France,Marrakech,-7.394,32.011,Morocco,2,1600
Bordeaux,-0.526,45.38,France,Casablanca,-7.317,33.612,Morocco,2,1431
Bologna,11.481,44.892,Italy,Casablanca,-7.317,33.612,Morocco,2,2039
Lisbon,-8.56,39.302,Portugal,Sao Tome,7.186,0.63,Sao Tome and Principe,2,4588
Sao Vicente Island,-24.425,17.389,Cape Verde,Amilcar Cabral,-22.916,17.235,Cape Verde,2,161
Sao Vicente Island,-24.425,17.389,Cape Verde,"Praia,Santiago Island",-23.156,15.54,Cape Verde,2,246
Amilcar Cabral,-22.916,17.235,Cape Verde,Sao Vicente Island,-24.425,17.389,Cape Verde,2,161
Amilcar Cabral,-22.916,17.235,Cape Verde,"Praia,Santiago Island",-23.156,15.54,Cape Verde,2,190
Amilcar Cabral,-22.916,17.235,Cape Verde,Boa Vista,-22.815,16.227,Cape Verde,2,112
"Sao Filipe,Fogo Island",-24.134,15.475,Cape Verde,"Praia,Santiago Island",-23.156,15.54,Cape Verde,2,105
"Praia,Santiago Island",-23.156,15.54,Cape Verde,Sao Vicente Island,-24.425,17.389,Cape Verde,2,246
"Praia,Santiago Island",-23.156,15.54,Cape Verde,Amilcar Cabral,-22.916,17.235,Cape Verde,2,190
"Praia,Santiago Island",-23.156,15.54,Cape Verde,"Sao Filipe,Fogo Island",-24.134,15.475,Cape Verde,2,105
"Praia,Santiago Island",-23.156,15.54,Cape Verde,Boa Vista,-22.815,16.227,Cape Verde,2,84
Boa Vista,-22.815,16.227,Cape Verde,"Praia,Santiago Island",-23.156,15.54,Cape Verde,2,84
Vilankulu,35.522,-21.365,Mozambique,Johannesburg,28.41,-25.566,South Africa,2,862
Johannesburg,28.41,-25.566,South Africa,Vilankulu,35.522,-21.365,Mozambique,2,862
Mogadishu,45.507,2.024,Somalia,Berbera,45.568,10.648,Somalia,2,958
